timestamp,gpu_index,gpu_name,temperature_c,power_w,power_limit_w,gpu_util_percent,vram_util_percent,vram_used_mb,vram_total_mb,fan_speed_percent,clock_gpu_mhz,clock_mem_mhz,perf_state,active_processes
2025-07-15 23:02:44,0,NVIDIA GeForce RTX 4070,41,17.279,215.0,8,13,10641.06,12282.0,30,1875,810,5,1
2025-07-15 23:02:49,0,NVIDIA GeForce RTX 4070,41,17.427,215.0,3,10,10678.31,12282.0,30,465,810,5,1
2025-07-15 23:02:54,0,NVIDIA GeForce RTX 4070,40,16.955,215.0,3,10,10648.69,12282.0,30,405,405,8,1
2025-07-15 23:02:59,0,NVIDIA GeForce RTX 4070,40,17.156,215.0,13,15,10650.44,12282.0,30,510,810,5,1
2025-07-15 23:03:04,0,NVIDIA GeForce RTX 4070,40,18.375,215.0,21,19,10663.81,12282.0,30,1515,810,5,1
2025-07-15 23:03:09,0,NVIDIA GeForce RTX 4070,39,16.176,215.0,4,19,10679.81,12282.0,30,315,405,8,1
2025-07-15 23:03:14,0,NVIDIA GeForce RTX 4070,39,15.803,215.0,3,12,10645.81,12282.0,30,345,405,8,1
2025-07-15 23:03:19,0,NVIDIA GeForce RTX 4070,39,15.502,215.0,43,37,10646.19,12282.0,30,1650,810,8,1
2025-07-15 23:03:24,0,NVIDIA GeForce RTX 4070,39,15.686,215.0,9,25,10671.31,12282.0,30,315,405,8,1
2025-07-15 23:03:29,0,NVIDIA GeForce RTX 4070,38,15.239,215.0,71,55,10653.31,12282.0,30,300,405,8,1
2025-07-15 23:03:35,0,NVIDIA GeForce RTX 4070,38,17.159,215.0,28,21,10643.0,12282.0,30,435,810,5,1
2025-07-15 23:03:40,0,NVIDIA GeForce RTX 4070,38,15.543,215.0,8,14,10666.25,12282.0,30,1440,810,5,1
2025-07-15 23:03:45,0,NVIDIA GeForce RTX 4070,38,17.887,215.0,5,12,10663.44,12282.0,30,2205,810,5,1
2025-07-15 23:03:50,0,NVIDIA GeForce RTX 4070,38,16.865,215.0,26,29,10667.81,12282.0,30,390,405,8,1
2025-07-15 23:03:55,0,NVIDIA GeForce RTX 4070,39,23.668,215.0,5,1,10676.31,12282.0,30,2865,10251,2,2
2025-07-15 23:04:00,0,NVIDIA GeForce RTX 4070,38,18.055,215.0,16,19,10635.5,12282.0,30,525,810,5,1
2025-07-15 23:04:05,0,NVIDIA GeForce RTX 4070,38,17.822,215.0,8,13,10624.31,12282.0,30,1515,810,5,1
2025-07-15 23:04:10,0,NVIDIA GeForce RTX 4070,37,17.271,215.0,6,15,10642.94,12282.0,30,885,810,5,1
2025-07-15 23:04:15,0,NVIDIA GeForce RTX 4070,37,14.991,215.0,5,18,10653.31,12282.0,30,270,405,8,1
2025-07-15 23:04:20,0,NVIDIA GeForce RTX 4070,37,15.409,215.0,22,31,10654.38,12282.0,30,1515,810,5,1
2025-07-15 23:04:25,0,NVIDIA GeForce RTX 4070,37,17.941,215.0,15,15,10617.75,12282.0,30,570,810,5,1
2025-07-15 23:04:30,0,NVIDIA GeForce RTX 4070,37,18.286,215.0,26,20,10600.75,12282.0,30,1470,810,5,1
2025-07-15 23:04:35,0,NVIDIA GeForce RTX 4070,37,18.319,215.0,15,16,10554.19,12282.0,30,765,810,5,1
